Azure Edge,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/6/6c/Iron_Boat_-_4th_Weapon_%28DW8%29.png/revision/latest?cb=20161005180755
Bronze Edge,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/0/00/Iron_Boat_-_2nd_Weapon_%28DW8%29.png/revision/latest?cb=20161005180724
Darkness Edge,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/e/ed/Iron_Boat_-_3rd_Weapon_%28DW8%29.png/revision/latest?cb=20161005180755
Eternal Voyage,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/e/ed/Iron_Boat_-_3rd_Weapon_%28DW8%29.png/revision/latest?cb=20161005180755
Feudal Edge,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/f/f7/Iron_Boat_-_1st_Weapon_%28DW8%29.png/revision/latest?cb=20161005180723
Imperial Warship,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/e/ed/Iron_Boat_-_6th_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005180756
Seacrusher,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/0/00/Iron_Boat_-_2nd_Weapon_%28DW8%29.png/revision/latest?cb=20161005180724
Snowboard,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/8/85/Iron_Boat_-_DLC_Weapon_%28DW8%29.png/revision/latest?cb=20161005180756
Tiger's Edge,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/4/45/Iron_Boat_-_5th_Weapon_%28DW8%29.png/revision/latest?cb=20161005180755
Tortoise Edge,Arm Blade,https://static.wikia.nocookie.net/dynastywarriors/images/b/bc/Iron_Boat_-_DLC_Weapon_2_%28DW8%29.png/revision/latest?cb=20161005180756
Battle Cannon,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/a/a6/Arm_Cannon_-_1st_Weapon_%28DW8%29.png/revision/latest?cb=20161005174056
Boomstick,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/5/59/Arm_Cannon_-_3rd_Weapon_%28DW8%29.png/revision/latest?cb=20161005174057
Chaotic Flame,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/5/59/Arm_Cannon_-_3rd_Weapon_%28DW8%29.png/revision/latest?cb=20161005174057
Earthshaker,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/b/b0/Arm_Cannon_-_5th_Weapon_%28DW8%29.png/revision/latest?cb=20161005174058
Evening Flame,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/a/a6/Arm_Cannon_-_1st_Weapon_%28DW8%29.png/revision/latest?cb=20161005174056
Explosive Fury,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/3/31/Arm_Cannon_-_4th_Weapon_%28DW8%29.png/revision/latest?cb=20161005174057
Nayuta Cannon,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/f/f7/Arm_Cannon_-_DLC_Weapon_2_%28DW8%29.png/revision/latest?cb=20161005174059
Spark Cannon,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/8/8d/Arm_Cannon_-_6th_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005174058
Submarine,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/f/f0/Arm_Cannon_-_DLC_Weapon_%28DW8%29.png/revision/latest?cb=20161005174058
War Cannon,Arm Cannon,https://static.wikia.nocookie.net/dynastywarriors/images/2/2e/Arm_Cannon_-_2nd_Weapon_%28DW8%29.png/revision/latest?cb=20161005174056
Answer Key,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/c/cf/Tactic_Scroll_-_2nd_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182436
Bamboo Scroll,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/7/75/Tactic_Scroll_-_1st_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182436
Divine Oracle Scroll,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/f/f8/Tactic_Scroll_-_6th_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182438
Forces of Nature,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/e/e9/Tactic_Scroll_-_3rd_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182437
General's Command Scroll,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/e/e9/Tactic_Scroll_-_3rd_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182437
God's Decree Scroll,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/e/e7/Tactic_Scroll_-_5th_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182437
Imperial Edict Scroll,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/8/88/Tactic_Scroll_-_4th_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182437
Refined Bamboo Scroll,Art of War Scroll,https://static.wikia.nocookie.net/dynastywarriors/images/c/cf/Tactic_Scroll_-_2nd_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005182436
Battle Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/d/da/Axe_-_2nd_Weapon_%28DW8%29.png/revision/latest?cb=20161005174100
Battle God's Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/1/13/Axe_-_DLC_Weapon_%28DW8%29.png/revision/latest?cb=20161005174155
Beast Slayer,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/6/6b/Axe_-_3rd_Weapon_%28DW8%29.png/revision/latest?cb=20161005174153
Dustscatter,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/3/3e/Axe_-_1st_Weapon_%28DW8%29.png/revision/latest?cb=20161005174059
Helmsplitter,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/d/da/Axe_-_2nd_Weapon_%28DW8%29.png/revision/latest?cb=20161005174100
Iron Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/3/3e/Axe_-_1st_Weapon_%28DW8%29.png/revision/latest?cb=20161005174059
Roaring Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/c/cb/Axe_-_5th_Weapon_%28DW8%29.png/revision/latest?cb=20161005174154
Royal Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/8/8a/Axe_-_4th_Weapon_%28DW8%29.png/revision/latest?cb=20161005174153
Thunder Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/f/f4/Axe_-_6th_Weapon_%28DW8XL%29.png/revision/latest?cb=20161005174154
Treasure Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/3/3e/Axe_-_1st_Weapon_%28DW8%29.png/revision/latest?cb=20161005174059
Verdant Axe,Axe,https://static.wikia.nocookie.net/dynastywarriors/images/3/37/Axe_-_DLC_Weapon_2_%28DW8%29.png/revision/latest?cb=20161005174155
Corkscrew Crossbow,Bladebow,https://static.wikia.nocookie.net/dynastywarriors/images/1/1c/Blade_Bow_-_DLC_Weapon_%28DW8%29.png/revision/latest?cb=20161005174308
Demon Nightwing,Bladebow,https://static.wikia.nocookie.net/dynastywarriors/images/c/c2/Blade_Bow_-_DLC_Weapon_2_%28DW8%29.png/revision/latest?cb=20161005174309
